,Title,Price,Rating,Image,Link
14,"Infinix HOT 30i (Diamond White, 64 GB)","₹7,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/3/4/-original-imagz3cuyhmc45pc.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-diamond-white-64-gb/p/itm8b42a43b35895?pid=MOBGNPK4PTXGANTP&lid=LSTMOBGNPK4PTXGANTPXFOPAU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGNPK4PTXGANTP.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
15,"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,299",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
16,"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/j/j/-original-imagnvvwvzyhfvx9.jpeg?q=70,https://www.flipkart.com/motorola-g32-mineral-gray-128-gb/p/itm6061450cb40ac?pid=MOBGM2EHJUTMXMFV&lid=LSTMOBGM2EHJUTMXMFVL5MPKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGM2EHJUTMXMFV.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
17,"Infinix HOT 30i (Marigold, 64 GB)","₹7,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/w/x/hot-30i-x669c-infinix-original-imagzyfawjmmcgpg.jpeg?q=70,https://www.flipkart.com/infinix-hot-30i-marigold-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2KCH77U28&lid=LSTMOBGNPK2KCH77U289VSAZE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGNPK2KCH77U28.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
18,"POCO C55 (Power Black, 64 GB)","₹7,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70,https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
19,"POCO C55 (Forest Green, 64 GB)","₹7,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70,https://www.flipkart.com/poco-c55-forest-green-64-gb/p/itm8b99ef9bd674c?pid=MOBGMXSWFYZYWKTD&lid=LSTMOBGMXSWFYZYWKTDWKED3U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGMXSWFYZYWKTD.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
20,"Infinix Smart 7 HD (Green Apple, 64 GB)","₹6,199",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-hd-green-apple-64-gb/p/itmae6d492c1083e?pid=MOBGZNM9FZAVPXAA&lid=LSTMOBGZNM9FZAVPXAATCK5H1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGZNM9FZAVPXAA.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
21,"APPLE iPhone 13 (Blue, 128 GB)","₹58,499",4.7,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70,https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGH3DY6Z&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBG6VF5SMXPNQHG.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
22,"POCO C55 (Cool Blue, 128 GB)","₹8,999",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70,https://www.flipkart.com/poco-c55-cool-blue-128-gb/p/itm26aca9fd143ba?pid=MOBGMXSWJHRVUWFE&lid=LSTMOBGMXSWJHRVUWFESKZGEW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGMXSWJHRVUWFE.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
23,"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,299",4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70,https://www.flipkart.com/motorola-e13-cosmic-black-64-gb/p/itm2cd6a5ea435eb?pid=MOBGKHNBBMSUE94W&lid=LSTMOBGKHNBBMSUE94WYZAYPS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=a872ffb0-38d4-4565-aba8-c08eb13df63e.MOBGKHNBBMSUE94W.SEARCH&ppt=None&ppn=None&ssid=tb3r1scjc00000001687637826703&qH=eb4af0bf07c16429
